#,access,id,num_images,title,url,download_method,license,region,year,contact_or_notes
90,REQUEST,bmc-shahid-beheshti-3215,3215,Occlusal intraoral photograph dataset for tooth detection and FDI numbering mixed and permanent dentition,https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-025-05803-y,email/DUA contact,article CC BY,Iran,2025,Orthodontics Dept Dental School Shahid Beheshti University of Medical Sciences Tehran; professional camera post-cleaning; 5 senior dental students under supervision
91,REQUEST,jocpd-2026-011-pediatric-5view,3100,Pediatric intraoral clinical photograph dataset (5-view classification),https://www.jocpd.com/articles/10.22514/jocpd.2026.011,email/DUA contact,unknown,China,2026,620 pediatric patients × 5 views = 3100 photos with explicit view-type labels; Inception-ResNet-v2 + Faster R-CNN benchmark; dataset itself author-request only
92,REQUEST,zenodo-10664056,3000,A comprehensive dataset of annotated oral cavity images for diagnosis of oral cancer and oral potentially malignant disorders,https://doi.org/10.5281/zenodo.10664056,email/DUA contact,CC BY-NC-ND 4.0,Sri Lanka,2024,Mobile phone photos; patient-wise CSV with smoking/betel/alcohol risk factors; restricted-access (institutional email required). Some sources cite 3246 images from 1013 patients.
93,REQUEST,bmc-tbilisi-humanitarian-2864-georgia-2025,2864,"Intraoral mobile photography for OH screening in children (Tbilisi, Georgia)",https://doi.org/10.1186/s12903-025-06500-6,email/DUA contact,not_specified,Georgia,2025,"Tbilisi Humanitarian Univ; 358 children, 8 standard projections, smartphone. First Georgia/Caucasus dataset."
94,REQUEST,smart-om-smartphone-oral,2469,SMART-OM smartphone oral imaging dataset,https://github.com/search?q=SMART-OM+smartphone+oral,email/DUA contact,research_only,multi,2024,"Smartphone iOS+Android capture, 331 subjects — camera-protocol axis."
95,REQUEST,bmc-mixed-dentition-intraoral-2025-06866,2467,Mixed dentition 5-view multi-class (MIH+fluorosis+hypoplasia+caries),https://link.springer.com/article/10.1186/s12903-025-06866-7,email/DUA contact,CC_BY_4.0,China,2025,5-view protocol with MIH/fluorosis/hypoplasia as explicit classes.
96,REQUEST,claseg-2072-scirep-2025-s41598-025-03268-1,2072,"CLASEG: advanced multiclassification and segmentation for differential diagnosis of oral lesions (2072 clinical images, 16 classes)",https://www.nature.com/articles/s41598-025-03268-1,email/DUA contact,CC BY 4.0,unspecified,2025,"iter-3 resolution: 2072 intraoral photos, 16 classes; gated supplementary; distinct from excluded claseg-oral-lesions-2025-contact-note"
97,REQUEST,osaka-prosthesis-1904-takahashi-2021,1904,"Osaka University 1904-image prosthesis classification dataset (Takahashi et al., Sci Rep 2021)",https://www.nature.com/articles/s41598-021-81202-x,email/DUA contact,on_request,Japan,2021,"Not publicly hosted — contact Osaka University Dental Hospital, Dept of Prosthodontics."
98,REQUEST,osaka-prosthodontics-contact-draft-2026,1904,Author-contact draft: Osaka Univ Prosthodontics — Takahashi 2021 1904-img restoration dataset,https://global.dent.osaka-u.ac.jp/,email/DUA contact,not_public,Japan,2021,"Parent osaka-prosthesis-1904-takahashi-2021 excluded in iter-1. Contacts drafted toshi-t@dent.osaka-u.ac.jp, mameno.tomoaki.dent@osaka-u.ac.jp. Trigger outreach iter-3."
99,REQUEST,fdtooth-scidata-2025,1800,FDTooth intraoral + CBCT (Sci Data 2025) — perio subset (gingival recession),https://physionet.org/content/fdtooth/1.0.0/,email/DUA contact,CC BY 4.0,unknown,2025,Usable subset = intraoral photos with recession labels; CBCT part blacklisted.
100,REQUEST,alphadent-kaggle-competition,1320,AlphaDent: Teeth marking (Kaggle Competition),https://www.kaggle.com/competitions/alpha-dent/data,email/DUA contact,open (Kaggle competition terms),Russia,2025,Kaggle mirror of AlphaDent. Train/val split by patient: 273 train / 22 val. Hidden test set for leaderboard. Task = instance segmentation of 9 oral pathology classes on intraoral DSLR photos.
101,REQUEST,human-tooth-crack-nir-2024,1194,Human Tooth Crack NIR Imaging Dataset,https://link.springer.com/article/10.1007/s10439-024-03615-9,email/DUA contact,data_on_request,unknown,2024,593 cracked + 601 non-cracked from NIR videos. Borderline-photo modality. Enamel-crack niche.
102,REQUEST,bmc-s12903-024-04460-x-chronic-gingivitis-683,683,Chronic gingivitis identification via transfer ensemble learning (683 intraoral images),https://doi.org/10.1186/s12903-024-04460-x,email/DUA contact,request_only,China,2024,Li 2024 BMC OH 24:814; 134 volunteers
103,REQUEST,moharrami-ragadio-2024-gingivitis-666-kaggle-lead,666,Ragadio 2024 gingivitis 666 Kaggle (slug unresolved),https://onlinelibrary.wiley.com/doi/full/10.1111/cdoe.70001,email/DUA contact,unknown,Philippines (likely),2024,Cited as Kaggle dataset; exact slug not located iter-3.
104,REQUEST,chau-hku-gingivitis-567-2023,567,Chau HKU/GDUT AI photographic gingivitis detection (567 images),https://doi.org/10.1016/j.identj.2023.03.007,email/DUA contact,request_only,Hong Kong/Guangdong,2023,Originating paper for 567-img set cited in PMC12627268 SR; HKU RGC grant UGC/FDS13/E01/22
105,REQUEST,mdpi-diagnostics-plaque-oleary,531,MDPI Diagnostics plaque/O'Leary 3-stage smartphone set,https://www.mdpi.com/journal/diagnostics,email/DUA contact,on_request,unknown,2024,Smartphone-based plaque scoring.
106,REQUEST,terven-ipn-plaque-531-oleary-2025,531,"Terven IPN Mexico plaque YOLO set (531 RGB, O'Leary, disclosing-gel)",https://www.mdpi.com/2075-4418/15/2/231,email/DUA contact,request_only,Mexico (Guanajuato),2025,"177 individuals, multi-smartphone; distinct from mdpi-diagnostics-plaque-oleary"
107,REQUEST,mdpi-diagnostics-ksu-435,435,Pediatric intraoral photograph dataset for lightweight dental caries screening,https://www.mdpi.com/2075-4418/16/6/862,email/DUA contact,article CC BY,Saudi Arabia,2025,King Saud University Riyadh; pediatric oral photographs; patient-level stratified splitting; ResNet-18 MobileNetV3 EfficientNet-B0 fine-tuned
108,REQUEST,pku-tooth-wear-grading-388,388,Deep learning-based tooth wear severity grading system — 388 intraoral photos,https://www.sciencedirect.com/science/article/pii/S1991790224001594,email/DUA contact,unknown_paper_only,China,2024,In-zone tooth wear grading. F1=0.89. Request-based.
109,REQUEST,fdtooth-physionet-hku-2025,241,FDTooth: Intraoral Photographs and CBCT Images for Fenestration and Dehiscence Detection,https://physionet.org/content/fdtooth/1.0.0/,email/DUA contact,PhysioNet (ODC-BY expected),"Hong Kong (HKU Faculty of Dentistry, 2 centers 2010-2023)",2025,"Photo-subset usable (MODALITY_MIXED=true, reject CBCT half). Explicit bracket-present/absent labels."
110,REQUEST,schwarzmaier-143-ecc-anterior-deciduous-2024,143,143 intraoral photos of anterior deciduous teeth for ECC external validation,https://www.mdpi.com/2077-0383/13/17/5215,email/DUA contact,request_only,Germany,2024,107 ECC + 36 control. High-res 2784x1856 macro-flash. Request corresponding author.
111,REQUEST,github-yunwu2024-dental-fluorosis,,Dental fluorosis image dataset (FusionDentNet),https://github.com/yunwu2024/dental_fluorosis,email/DUA contact,pending,China,2024,Placeholder repo; release pending paper acceptance. Monitor iter 2-3.
112,REQUEST,teethdreamer-5photo-protocol,,TeethDreamer 5-view intraoral + 3D mesh pairs,https://arxiv.org/abs/2407.11419,email/DUA contact,research,unknown,2024,Usable subset = 5 photos per subject. Meshes are blacklisted by our modality filter.
113,REQUEST,sfedu-yufu-caries-smartphone-2026,,YuFU/SFedU smartphone caries detection prototype dataset,https://sfedu.ru/press-center/news/80063,email/DUA contact,unknown (not publicly released yet),Russia,2026,"Denis Krivoguz team at Southern Federal University (Rostov-on-Don). Built YOLOv8 caries detector on smartphone camera intraoral photos. Internal research sample: 1781 patients, 5000+ affected teeth. T"
114,REQUEST,sechenov-minzdrav-sjogren-salivary-2024,,Sechenov University first Minzdrav AI-platform dataset: Sjogren syndrome salivary gland pathology,https://www.sechenov.ru/pressroom/news/vklad-v-delo-tsifrovizatsii-sechenovskiy-universitet-sozdal-i-vylozhil-na-platformu-minzdrava-dlya-o/,email/DUA contact,open after patent,Russia,2024,"OUT-OF-SCOPE (histology, not intraoral photo) but logged as negative anchor + institutional lead. Institute of Clinical Morphology & Digital Pathology, Sechenov. Three more datasets being prepared by "
115,REQUEST,aikosh-india-oral-cancer,,Oral Cancer Imaging and Clinical Dataset AIKosh India,https://aikosh.indiaai.gov.in/home/datasets/details/oral_cancer_imaging_and_clinical_dataset.html,email/DUA contact,Indian government open-data terms TBD,India,2024,IndiaAI AIKosh platform; requires account/request; confirm image count and modality split
116,REQUEST,github-dlcariesscreen-ucla,,"DLCariesScreen (UCLA, Liangyuan D. et al.)",https://github.com/liangyuandg/DLCariesScreen,email/DUA contact,request-based,USA/China (UCLA + Nanjing Medical),2020,Dataset NOT public due to privacy/commercial concerns; request via liangyuandg@ucla.edu or Prof. Leiying Miao. Logged with requires_request=true for access pipeline tracking.
117,REQUEST,jmir-e91239-colorado-fluorosis-2026,,"Mobile Imaging ML for Caries, Sealants, Fluorosis (Colorado protocol)",https://www.researchprotocols.org/2026/1/e91239,email/DUA contact,protocol_stage_not_released,USA_Colorado,2026,Protocol Jan 2026. ~300/1000 collected. Smartphone + intraoral camera. Not yet public.
118,REQUEST,frontiers-mih-central-china-1568,,"MIH cohort in endemic fluorosis region, central China (1568 schoolchildren)",https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2023.1088703/full,email/DUA contact,CC_BY_article_only,China_central,2023,1568 with MIH+DF co-labels in endemic fluorosis area; photos not released; authors contactable.
119,REQUEST,heliyon-tooth-crack-deeplabv3plus-2024,,Semantic segmentation tooth cracks DeepLabv3+ dataset,https://www.cell.com/heliyon/fulltext/S2405-8440(24)01923-6,email/DUA contact,CC_BY_NC_ND,unknown,2024,Craze-line / enamel-crack niche; images on request.
120,REQUEST,tongue-lesions-bmc-623patients,,Tongue lesions 5-class (BMC Med Imaging 2024),https://bmcmedimaging.biomedcentral.com/articles/10.1186/s12880-024-01234-3,email/DUA contact,request_only,,2024,Geographic tongue explicit; on-request
121,REQUEST,sechenov-datamed-ai-platform-lead,,Sechenov DataMed.AI / Minzdrav AI platform — institutional lead (no intraoral photo yet),https://ai.sechenov.ru/datasets,email/DUA contact,platform-gated,Russia,2026,Platform hosts 26 datasets as of 2026-04; only dental = already-excluded Sjögren histology. Outreach lead.
122,REQUEST,github-tooth-segmentation44-yolov8,,tooth-segmentation44 - YOLOv8 improved dental lesion segmentation Chinese release,https://github.com/YOLOv8-YOLOv11-Segmentation-Studio/tooth-segmentation44,email/DUA contact,unspecified GitHub open,China,2024,Chinese-authored; distinct from sister repo rvg-v1301 which is X-ray film; tooth-segmentation44 appears intraoral photo segmentation; dataset access via QR/Baidu Netdisk per README; verify modality be
123,REQUEST,aihub-korea-71509-dental-intraoral-clinical,,AIHub Korea 치과 구내 임상사진 이미지 데이터 (Dental Intraoral Clinical Photo Image Dataset),https://aihub.or.kr/aihubdata/data/view.do?currMenu=115&topMenu=100&dataSetSn=71509,email/DUA contact,AIHub Korea DUA (approval required),South Korea (Seoul National University Dental Hospital),2022,Korean-government AI training dataset from SNU Dental Hospital. 6 clinical views per patient. Critical Asian-region source never probed in iter_1/iter_2.
124,REQUEST,ssrn-6281532-airc-labden-plaque-ortho,,AIRC-LABDEN: Multi-Modal Plaque in Fixed Ortho Appliance Patients,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6281532,email/DUA contact,unknown,Vietnam (AIRC Hanoi),2025,Ortho-perio crossover; contact Chi Nguyen Anh et al.
125,REQUEST,integrated-fluorosis-grading-bspc-2024,,Integrated fluorosis grading (seg+classify),https://www.sciencedirect.com/science/article/abs/pii/S1746809424005688,email/DUA contact,on_request,China,2024,U-Net tooth seg + CNN+Transformer classifier.
126,REQUEST,mdpi-mih-oct-photonics-799-2025,,OCT+photo MIH case-control dataset,https://www.mdpi.com/2304-6732/12/8/799,email/DUA contact,CC_BY,Europe_unspecified,2025,In-vivo OCT paired with clinical photos.
127,REQUEST,coi-skin-dde-pediatric-2025-06326,,DDE+dental anomalies in pediatric skin-disease cohort 71+41,https://pubmed.ncbi.nlm.nih.gov/40227455/,email/DUA contact,CC_BY,Europe_clinical,2025,"Genodermatoses cohort, rare-disease AI enrichment candidate."
128,REQUEST,cleft-mih-6432-coi-2025-06311,,"MIH/HSPM in orofacial-cleft cohort (6432 teeth, 290)",https://link.springer.com/article/10.1007/s00784-025-06311-7,email/DUA contact,on_request,referral_hospital,2025,6432 teeth from 290 cleft patients via 40-inch screen photo review.
129,REQUEST,opmdcare-atlas-photos-2026,,OPMDCARE Atlas of Photos,https://opmdcare.com/atlas-photos/,email/DUA contact,Unclear/copyrighted; bulk-export UNVERIFIED,Europe multi-country consortium,2024,Educational atlas; no DOI; author-contact (Bordeaux lead).
130,REQUEST,aihub-kr-restorative-probe-2026,,AI Hub Korea restorative-intraoral probe,https://www.aihub.or.kr/aihubdata/data/list.do,email/DUA contact,AI-Hub custom (non-commercial default),South Korea,2026,Catalogue confirmed; individual dataset IDs require Korean login. Needs KR-resident collaborator.
131,REQUEST,nyu-caredaway-sdf-school-ny-10620,,CariedAway Pragmatic Non-inferiority Trial of SDF (NYU Data Catalog #10620),https://datacatalog.med.nyu.edu/dataset/10620,email/DUA contact,Restricted (Data Request Form required),USA (NYC public schools),2023,"7418 children, 4100 completers. First US large-scale pediatric SDF cohort; photos uncertain — contact PI Ryan Richard Ruff."
132,REQUEST,sechenov-ai-205-adult-dental-photos-polygon,,Sechenov AI #205: Adult intraoral frontal+lateral photos with polygon tooth segmentation,https://ai.sechenov.ru/datasets/205,email/DUA contact,Russian state DB reg 2023624045; access by request,Russia,2023,300 adult patients per portal listing; distinct from iter-1/2 Sechenov entries (Sjogren/DataMed/platform-lead).
133,REQUEST,sechenov-ai-214-pediatric-dental-morbidity-moscow,,Sechenov AI #214: Pediatric dental morbidity dataset (Moscow/MO),https://ai.sechenov.ru/datasets/214,email/DUA contact,Russian state DB reg; request-only,Russia,2024,Photo modality NOT confirmed — may be structured clinical records. Verify via direct request.
134,REQUEST,plos-one-0310420-mexican-fluorosis-mih-573,,Inverse relationship dental fluorosis vs MIH in Mexican schoolchildren (endemic 1.39ppm F),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310420,email/DUA contact,CC BY 4.0 article; photos on request,Mexico (endemic fluorosis community),2024,"573 children, dual-endemic fluorosis+MIH phenotype; outreach iter_5."
135,REQUEST,s41598-025-25960-y-vietnam-mih-1834-northern,,"Prevalence, clinical characteristics MIH Vietnamese Northern schoolchildren",https://www.nature.com/articles/s41598-025-25960-y,email/DUA contact,CC BY 4.0,"Vietnam (Thai Nguyen, Phu Tho, Bac Giang)",2025,"n=1834, MIH prev 12.7%; photos on request."
136,REQUEST,dongthap-vietnam-mih-2025-40589688,,MIH Children Dong Thap Vietnam cross-sectional,https://pubmed.ncbi.nlm.nih.gov/40589688/,email/DUA contact,publisher,Vietnam (Dong Thap Mekong Delta),2025,Southern Vietnam counterpart to Northern 1834 study; outreach iter_5.
137,REQUEST,abha-ksa-mih-520-kingkhalid-2026,,MIH Saudi children Abha hospital survey,https://pubmed.ncbi.nlm.nih.gov/41746461/,email/DUA contact,publisher,"Saudi Arabia (Abha, King Khalid Univ)",2026,n=520 Saudi children Feb-2026; outreach for photo-level release.
138,REQUEST,mdpi-jcm-14-8959-enamel-caries-dl-2025,,Automated Classification Enamel Caries incl hypoplasia distractors JCM 2025,https://www.mdpi.com/2077-0383/14/24/8959,email/DUA contact,CC BY 4.0,unspecified,2025,Hypoplasia+fluorosis as distractors; data-on-request.
139,REQUEST,preprints-2025-tooth-wear-portuguese-community,,Tooth Wear Portuguese Community retrospective,https://www.preprints.org/frontend/manuscript/11e1eb8379393f65e572e1329eef56ab/download_pub,email/DUA contact,CC BY (preprint),Portugal,2025,Attrition+NCCL 12.3%/9%.
140,REQUEST,oralgpt-mmoral-dfull-dpartial-arxiv-2510-13911,,OralGPT / MMOral: DFull + DPartial oral mucosal disease dataset (NeurIPS 2025),https://arxiv.org/abs/2510.13911,email/DUA contact,private_not_released,China (Xi'an Jiaotong),2025,"iter-3 resolution: CONFIRMED PRIVATE. Only DPublic+MMOral-OPG-Bench (panoramic, out-of-scope) on HF. Contact isjinghao@gmail.com"
141,REQUEST,arxiv-2511-21582-multimodal-oral-lesions-16class,,Data-Augmented Multimodal Feature Fusion for Multiclass Oral Cancer Lesions (16 classes),https://arxiv.org/abs/2511.21582,email/DUA contact,unspecified,,2025,Nov 2025; possibly reuses CLASEG-2072 given 16-class overlap; verify iter-5
142,UNCLEAR,khurshid-bmc-2025-panoramic-prosthesis-out-of-scope-note,2235,Khurshid 2025 multi-regional prosthesis — OUT-OF-SCOPE,https://bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-025-07138-0,manual visit,,Pakistan/Thailand/USA,2025,"Rejected: panoramic radiograph, not intraoral photo. Logged to prevent re-investigation."
143,UNCLEAR,roboflow-oralleukoplakia-418,418,OralLeukoplakia - Roboflow Universe,https://universe.roboflow.com/search?q=OralLeukoplakia,Roboflow (browser or API),"CC BY 4.0 (Roboflow default, verify)",,,Cited in OralGPT DPublic contributing 418 OLK images.
144,UNCLEAR,roboflow-ulcers-sw4n4,,Ulcers (oral) - Roboflow Universe,https://universe.roboflow.com/ulcer-detection-sw4n4/ulcers,Roboflow (browser or API),"CC BY 4.0 (Roboflow default, verify)",,,Cited as the Roboflow Ulcer Dataset in Sci Reports 2025 aphthous CNN paper.
145,UNCLEAR,alphadent-v1.2-release-check-negative-2026,,AlphaDent v1.2 release probe — negative,https://github.com/ZFTurbo/AlphaDent,GitHub (clone or releases),Apache-2.0,,2026,Latest tag still v1.1 (2025-07-29). No v1.2 as of 2026-04-22.
146,UNCLEAR,hf-mendeley-roboflow-api-probe-2026,,Direct API probe: HF/Mendeley/Roboflow (negative),,manual visit,,,2026,HF /api/datasets?search=prosthesis/veneer/crown → no new photo datasets. Mendeley API DNS blocked. Roboflow 503. No new restorative intraoral beyond exclude_ids.
147,UNCLEAR,osf-tf5r8-data-share-ortho,,OSF 'data share ortho project' (tf5r8),https://osf.io/tf5r8/,manual visit,,,,Project exists but 503 in iter-2 AND iter-3. Needs api.osf.io/v2/nodes/tf5r8/ direct call.
148,UNCLEAR,iter4-perio-saturation-flag,,SATURATION FLAG: perio-photo discovery new_unique=3 < threshold=5,,manual visit,,,2026,"Recommend paused_agents += dental-search-perio for iter-5. Remaining value = outreach (Nanchang 3869, Roboflow slug resolution)."
149,UNCLEAR,iter4-surgical-zone-gap-structural,,ZONE GAP: surgical/acute oral photo datasets — structurally absent from open corpora,,manual visit,,,2026,15+ queries en+ru+zh+pt+es+tr yield: (a) DentalTraumaGuide Copenhagen/IADT paywalled; (b) Andreasen Color Atlas copyrighted Wiley; (c) MRONJ AI lit ALL panoramic/CBCT; (d) Odontogenic cellulitis/phleg
150,UNCLEAR,iter4-surgical-pmc-figure-harvest-plan,,PLAN: PMC CC-BY figure-harvest for surgical/acute photos,,manual visit,CC_BY_per_figure,,2026,Separate figure-harvest pipeline needed (not keyword search). Plausible ~50-200 photos per condition across CC-BY PMC case reports. Build as iter_5 separate agent dental-search-pmc-figures.
